"","id_bu","id_bu_encuesta","encuesta","encuesta_a","encuesta_m","pond","secu","estrato","region_3","zona_u_r","gse","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","bienestar_2","bienestar_7_a","bienestar_7_d","bienestar_7_f","bienestar_7_g","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_gz","eval_act_pol_1_gy","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_fo","eval_act_pol_1_co","eval_act_pol_1_hc","eval_act_pol_1_gq","eval_act_pol_1_gw","eval_act_pol_1_gx","eval_act_pol_1_ha","eval_act_pol_1_gu","eval_act_pol_1_dv","eval_act_pol_1_ae","eval_act_pol_1_em","eval_act_pol_1_ep","eval_act_pol_1_en","eval_act_pol_1_hb","eval_act_pol_1_fw","confianza_6_a","confianza_6_b","confianza_6_c","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","confianza_6_ac","democracia_21","pobreza_62","democracia_19","religion_63","religion_81_b","religion_81_a","mtf_66","mtf_53","mtf_45_d","mtf_45_h","mtf_45_k","religion_14","religion_15_b","religion_15_c","religion_15_d","religion_15_e","religion_15_f","religion_64","religion_82","religion_2","religion_91","religion_86","religion_88_a","religion_88_b","religion_88_c","religion_89","confianza_16_a","confianza_16_b","confianza_16_c","confianza_16_d","confianza_16_e","confianza_16_f","confianza_16_g","confianza_16_h","religion_31_a","religion_31_b","religion_31_c","religion_32_b","religion_33_a","religion_33_b","religion_90_a","religion_90_b","religion_90_c","religion_90_d","religion_71_a","religion_71_b","religion_72_b","religion_67","religion_39_g","religion_39_c","religion_39_d","religion_59_b","religion_59_c","religion_59_e","religion_37_a","religion_37_b","religion_37_c","religion_37_d","religion_37_g","religion_37_e","religion_75_d","religion_75_e","interes_pol_1_b","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b_2","municipio_17_a","municipio_17_b","municipio_17_c","elec_muni_17","elec_muni_14_d","estallido_5","estallido_17","sexo","edad","info_enc_59_2","info_enc_58","info_enc_30_b","info_enc_8","mtf_60","estado_civil_g","info_enc_61","esc_nivel_1_c","info_enc_57","info_hogar_28_c","info_enc_62","salud_5_b"
"1","1-92",1,92,2024,8,0.20965863,92071,8,6,1,4,3,7,10,2,2,6,4,5,5,4,3,2,4,2,2,-9,2,6,1,2,1,6,6,4,6,6,6,6,6,5,6,5,2,6,2,4,4,3,4,4,3,3,2,3,2,4,2,2,3,3,3,3,4,2,2,3,2,3,10,10,3,2,4,3,4,2,2,2,2,2,2,2,2,2,2,1,7,1,2,1,2,3,1,3,3,3,1,4,3,4,2,3,2,4,2,2,2,5,5,5,1,3,3,3,4,2,3,3,2,2,2,2,2,4,2,2,3,3,2,5,-8,-9,1,4,NA,3,8,2,4,4,-9,4,2,55,1,2,NA,1,3,1,2,6,2,2,1,4
"2","2-92",2,92,2024,8,1.22422711,92173,20,13,1,3,3,9,26,3,2,8,3,5,5,3,3,3,3,3,2,8,3,6,2,4,3,6,6,4,6,6,6,6,6,2,2,4,4,6,6,6,6,3,1,1,3,3,3,3,3,3,3,2,3,4,3,3,3,1,1,3,3,2,10,10,10,2,2,2,4,2,2,3,1,1,1,1,1,1,2,2,7,1,1,1,4,3,2,3,3,3,3,3,3,1,3,4,2,2,4,2,3,9,3,5,0,4,4,2,4,1,1,5,2,2,2,2,2,1,1,3,3,1,3,3,9,NA,2,NA,3,7,8,1,3,3,3,4,1,64,1,2,NA,1,2,1,2,3,1,NA,3,1
"3","3-92",3,92,2024,8,0.46204471,92193,20,13,1,3,14,10,4,4,2,7,5,5,5,4,3,2,3,2,3,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,2,3,2,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,9,7,8,3,2,1,4,1,1,2,2,4,4,3,4,4,2,9,5,1,2,3,1,6,1,3,3,4,2,3,3,-8,2,3,2,3,3,3,1,8,6,8,5,2,2,3,3,1,3,5,1,1,2,1,1,2,2,2,2,1,1,5,15,15,2,NA,4,9,3,2,4,3,1,3,2,24,2,2,NA,1,1,2,2,2,2,2,1,8
"4","4-92",4,92,2024,8,1.61588433,92173,20,13,1,3,1,10,2,3,2,6,3,-7,-7,4,3,3,5,2,1,3,5,6,3,5,4,2,3,3,6,6,6,6,6,2,1,3,3,6,2,2,2,4,4,3,4,3,3,4,3,4,2,4,2,3,3,1,3,3,2,4,4,1,3,5,1,4,4,2,-7,1,2,3,2,4,4,4,4,4,1,9,8,3,4,6,3,1,1,4,4,4,3,4,3,4,4,1,1,4,5,1,1,1,1,1,5,4,4,5,2,1,5,5,3,2,3,1,3,3,3,2,1,2,2,3,15,15,1,-9,NA,5,8,1,1,1,1,2,2,32,1,1,5,2,NA,8,2,6,2,4,1,4
"5","5-92",5,92,2024,8,1.24923019,92071,8,6,1,4,1,3,9,3,-8,8,4,5,-7,5,3,3,3,2,2,5,3,6,6,6,3,6,6,3,6,6,6,6,6,6,3,4,6,6,6,6,6,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,1,5,10,5,3,2,3,-7,3,3,2,2,1,1,1,1,1,2,1,7,3,2,1,6,4,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,5,5,5,4,4,3,4,2,3,4,3,3,3,-89,1,-89,2,2,-89,2,2,3,-8,-8,1,3,NA,5,8,2,3,3,2,3,1,34,1,2,NA,2,NA,2,2,6,1,NA,1,5
"6","6-92",6,92,2024,8,0.51500881,92193,20,13,1,3,5,10,13,2,3,10,5,-7,5,-7,3,3,3,3,3,10,3,6,6,6,3,6,6,5,6,6,6,6,6,6,6,4,6,6,6,6,6,1,4,1,4,3,3,2,1,3,1,1,3,4,2,3,3,2,-8,3,2,1,10,10,2,1,1,6,1,1,1,1,2,4,4,4,3,4,1,1,8,1,1,1,3,5,1,1,4,4,4,4,2,4,1,2,2,2,4,2,3,5,10,5,0,1,4,2,4,1,4,5,1,2,1,1,1,1,2,1,1,1,1,4,15,15,1,1,NA,2,4,8,3,3,5,4,2,63,1,2,NA,1,6,8,2,1,1,NA,8,1
"7","7-92",7,92,2024,8,1.49980961,92193,20,13,1,3,9,14,2,2,3,5,3,-7,4,5,3,3,5,3,2,5,2,6,6,1,1,2,6,1,6,6,6,6,6,4,4,3,6,6,6,6,1,4,4,3,4,4,1,4,2,4,3,4,4,4,2,2,4,4,4,3,4,2,10,10,10,2,3,1,2,1,1,5,2,4,1,4,2,1,2,9,8,4,4,4,1,2,2,4,4,4,4,4,4,4,3,5,1,5,5,2,1,5,5,5,5,1,3,5,4,5,5,3,1,1,3,1,4,4,4,4,2,4,3,3,17,NA,1,2,NA,8,9,3,3,2,2,3,1,28,4,2,NA,1,1,8,1,6,1,NA,1,3
"8","8-92",8,92,2024,8,0.49006527,92198,20,13,1,2,14,9,26,2,2,10,4,-7,5,4,4,3,4,3,3,5,2,1,2,1,1,6,1,2,6,6,6,6,6,6,1,3,2,6,2,1,3,3,4,4,4,3,4,-8,3,4,4,3,4,4,2,3,4,4,2,2,3,1,10,1,1,1,1,1,4,1,1,1,2,4,1,1,1,1,1,9,8,1,1,2,1,4,1,4,4,4,4,2,4,2,3,5,5,5,1,4,3,5,5,5,5,4,1,4,4,5,3,5,2,2,2,4,4,4,4,4,4,4,1,5,15,15,1,-9,NA,5,8,7,3,3,3,5,2,79,1,2,NA,1,2,7,2,3,1,NA,2,-8
"9","9-92",9,92,2024,8,1.19984769,92193,20,13,1,3,1,9,17,1,3,9,4,-7,-7,4,3,1,5,2,2,5,1,6,6,1,6,6,6,1,6,6,6,6,6,5,4,3,6,6,6,6,6,4,4,1,4,3,2,4,3,4,1,3,4,4,3,3,4,4,1,4,4,3,5,5,5,1,1,3,4,2,5,2,1,1,1,1,1,1,1,9,8,3,3,4,5,1,1,4,4,4,4,4,4,4,4,1,1,5,1,4,1,5,5,5,5,1,5,5,4,1,1,5,5,5,5,1,1,1,1,1,1,1,1,3,15,15,1,4,NA,5,11,2,3,3,3,3,1,22,1,2,NA,2,NA,8,2,3,2,4,1,7
"10","10-92",10,92,2024,8,0.36675726,92193,20,13,1,3,1,3,6,2,3,6,4,-7,5,-7,3,3,4,3,2,10,2,6,3,2,4,3,3,4,3,3,6,3,3,3,3,4,3,3,2,3,3,3,1,3,3,2,3,3,3,3,3,2,3,2,3,2,3,1,3,3,3,3,10,10,10,2,4,2,4,4,4,4,1,1,1,1,1,1,3,2,1,1,1,1,4,9,1,3,3,3,3,1,3,1,3,4,4,4,4,4,4,10,6,10,10,1,2,2,4,5,2,5,1,1,1,1,1,1,1,4,4,1,1,4,18,NA,1,2,NA,3,6,9,3,3,5,3,1,68,1,2,NA,1,8,7,2,1,1,NA,7,4
"11","11-92",11,92,2024,8,0.99465692,92198,20,13,1,2,1,5,13,3,2,10,3,5,5,-7,3,3,4,3,1,2,4,1,4,4,5,5,3,5,1,4,1,1,3,1,1,1,3,2,1,5,1,4,4,4,3,4,4,4,4,4,3,3,2,3,4,1,4,4,3,2,4,1,5,1,5,3,2,2,4,1,2,1,3,1,4,1,4,1,2,9,8,3,4,1,5,9,1,4,4,4,4,4,4,4,4,1,1,1,1,1,2,5,5,2,9,4,3,4,2,4,4,5,5,4,1,4,4,4,4,3,4,4,4,2,25,NA,1,1,NA,3,5,2,1,1,1,2,1,76,1,-8,NA,1,2,2,2,6,1,NA,7,4
"12","12-92",12,92,2024,8,0.25107332,92090,12,8,1,4,1,3,13,1,3,10,5,-7,5,-7,3,5,5,3,2,10,2,6,-8,6,-8,6,6,1,6,6,6,6,6,6,3,6,6,6,6,6,6,4,1,1,4,4,-8,3,3,4,4,1,4,4,3,4,4,3,1,3,3,3,10,10,6,2,4,5,4,4,4,4,1,1,1,1,1,1,3,2,1,1,1,1,3,7,2,4,4,4,4,1,1,1,3,4,4,5,4,5,4,10,5,10,0,5,5,2,4,4,1,4,2,5,1,1,1,1,1,4,4,4,2,5,1,NA,1,2,NA,8,2,11,1,3,5,5,2,75,1,2,NA,1,6,7,2,2,1,NA,7,2
"13","13-92",13,92,2024,8,0.38625661,92193,20,13,1,3,6,7,3,3,2,8,1,-7,5,4,3,1,5,2,2,1,1,6,6,2,1,6,6,3,6,6,6,6,6,4,4,2,3,6,2,6,6,4,1,3,3,3,3,3,2,3,4,3,4,3,3,3,4,3,3,3,4,3,10,10,10,2,1,2,5,1,4,1,1,4,1,1,4,3,2,2,4,1,2,3,1,4,2,4,3,4,4,2,4,1,4,2,2,2,2,2,4,5,0,5,0,2,2,2,4,1,4,5,2,2,2,1,1,4,4,4,4,1,4,5,15,15,1,1,NA,2,5,6,1,3,1,2,2,55,1,2,NA,1,2,8,2,2,1,NA,1,1
"14","14-92",14,92,2024,8,0.77887233,92080,10,7,1,3,3,2,9,3,1,10,1,1,5,1,5,2,3,2,-9,5,3,6,6,2,2,6,3,4,6,2,2,6,6,3,2,4,4,6,3,6,6,2,2,2,4,4,3,3,2,3,3,2,3,4,3,3,4,2,2,3,4,3,5,7,10,3,2,2,2,4,-9,4,2,2,1,1,1,1,2,1,5,1,1,1,3,5,1,3,2,3,-8,-9,2,-9,2,2,2,3,2,4,2,5,5,5,-8,2,5,4,4,1,4,4,4,2,4,1,2,3,1,2,2,2,3,5,15,15,1,4,NA,8,5,11,4,3,5,4,2,51,1,2,NA,1,1,1,2,3,1,NA,10,2
"15","15-92",15,92,2024,8,0.39887516,92193,20,13,1,3,3,1,7,2,3,6,4,-7,5,-7,2,5,5,3,2,5,1,6,2,1,1,6,6,2,6,6,6,6,6,4,6,4,4,6,6,6,6,4,4,3,4,3,4,1,2,2,4,3,4,4,4,4,4,3,3,1,4,3,7,10,7,4,2,0,1,2,4,4,2,1,1,4,1,1,1,9,8,4,4,1,2,3,1,4,4,4,2,4,4,4,2,2,4,4,2,2,2,5,0,0,5,2,5,2,4,1,2,5,4,4,4,4,1,1,4,4,4,1,4,5,15,15,1,1,NA,2,5,7,4,3,5,5,2,51,1,2,NA,1,2,8,2,4,2,4,1,2
"16","16-92",16,92,2024,8,0.1287522,92193,20,13,1,3,1,10,14,1,3,1,4,-7,4,4,3,4,3,2,2,-9,1,6,6,2,4,6,6,5,6,6,6,6,6,6,6,2,6,6,6,6,6,4,4,4,4,3,-8,3,3,3,1,2,4,3,1,4,3,1,3,4,3,3,10,10,10,3,1,1,4,2,2,4,1,4,4,1,1,4,3,9,5,2,2,1,4,7,1,4,4,4,4,4,4,3,3,1,2,3,2,2,3,0,0,0,0,1,1,2,4,1,2,2,4,2,4,4,1,3,4,3,3,4,1,5,15,15,1,3,NA,1,2,4,2,3,5,3,2,62,1,1,5,1,4,7,2,1,1,NA,1,2
"17","17-92",17,92,2024,8,0.41436549,92092,12,8,1,1,9,10,3,4,2,10,4,-7,5,5,4,3,2,1,1,5,5,6,5,4,5,5,2,5,6,4,3,6,3,1,1,1,3,3,1,5,1,4,4,4,4,4,4,4,3,4,4,3,2,4,3,4,3,4,1,4,4,1,1,6,10,2,3,3,1,1,2,2,2,4,4,4,4,4,1,9,8,1,1,1,4,3,1,3,4,4,2,4,4,4,4,5,1,4,4,1,2,1,1,1,5,2,4,4,4,1,4,5,4,4,2,2,2,4,2,1,2,2,1,1,9,NA,1,1,NA,1,5,8,1,-8,1,3,2,58,1,2,NA,1,1,6,2,9,1,NA,1,4
"18","18-92",18,92,2024,8,1.04753977,92198,20,13,1,3,2,1,9,3,1,5,2,-7,4,4,2,2,5,3,1,7,4,6,4,3,4,6,3,3,1,3,1,1,6,1,1,1,2,1,1,5,1,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,3,4,3,4,1,1,10,10,4,1,3,1,1,1,1,3,4,4,4,3,4,1,9,8,3,3,6,2,1,1,4,4,4,3,4,4,3,4,1,1,1,1,1,1,3,0,2,8,2,2,5,2,1,4,4,3,3,3,1,1,2,2,1,1,2,1,2,3,NA,1,1,NA,5,4,2,1,1,1,3,2,64,1,2,NA,1,2,8,2,4,2,7,8,-8
"19","19-92",19,92,2024,8,2.42133446,92175,20,13,1,1,9,16,7,3,3,10,2,5,2,4,4,3,4,3,2,5,2,6,1,2,1,3,3,2,6,1,6,6,1,4,4,3,3,6,4,4,3,3,1,2,3,4,3,3,3,3,3,2,4,3,3,3,4,2,2,4,4,1,6,7,7,1,2,2,4,2,4,5,1,1,3,1,1,1,3,2,3,1,1,1,7,3,2,4,4,3,3,3,4,1,4,1,1,1,3,2,1,10,5,5,5,1,5,4,4,1,1,5,1,1,1,1,1,1,1,4,4,2,4,2,15,15,1,2,NA,8,2,7,1,2,5,4,1,41,1,2,NA,1,2,1,2,6,1,NA,6,2
"20","20-92",20,92,2024,8,1.38828494,92163,20,13,1,4,9,26,2,2,2,9,3,4,5,-7,3,3,4,1,-8,5,3,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,1,4,2,3,3,2,4,3,2,4,4,4,3,3,2,2,3,3,3,10,10,10,2,2,2,1,2,2,2,3,3,1,3,3,4,1,8,7,4,4,1,4,2,1,3,4,4,3,4,4,4,2,2,2,4,1,3,3,5,5,-8,5,2,2,2,4,1,1,4,3,2,3,2,1,1,2,1,2,2,1,5,15,15,1,4,NA,2,7,3,4,5,5,4,2,40,1,2,NA,1,4,3,2,2,1,NA,10,3
"21","21-92",21,92,2024,8,0.3701354,92163,20,13,1,3,16,4,2,3,1,7,4,-7,4,4,3,2,3,1,1,5,4,6,-8,4,4,-8,2,3,6,3,6,6,6,6,1,2,6,6,-8,-8,6,3,3,2,3,3,4,3,3,1,3,1,3,3,4,3,3,2,2,3,3,1,5,1,1,2,2,2,4,2,2,1,2,2,3,4,2,1,2,5,5,1,1,1,5,8,1,3,4,4,3,4,4,4,3,4,2,4,3,4,4,1,2,1,0,2,2,3,4,2,2,4,2,2,2,2,2,4,2,2,4,4,2,1,15,25,2,NA,1,5,8,3,3,1,1,4,1,74,5,2,NA,1,8,8,2,7,1,NA,1,5
"22","22-92",22,92,2024,8,0.52560264,92069,8,6,1,3,3,10,14,2,2,8,5,5,5,-7,3,3,4,3,2,-9,6,6,2,3,2,3,2,2,6,6,6,6,3,4,3,3,3,6,2,6,3,3,3,2,4,4,4,4,3,3,3,1,3,4,2,4,4,3,4,4,4,1,10,8,10,4,4,-9,4,1,4,5,2,1,1,1,1,1,3,1,3,3,2,1,3,7,1,4,3,3,2,4,2,4,3,2,2,1,2,4,2,5,7,5,3,2,5,2,4,4,4,5,2,1,1,1,2,1,2,3,1,3,2,3,15,15,1,-9,NA,8,3,1,3,3,5,4,1,64,1,2,NA,1,3,1,2,8,1,NA,7,7
"23","23-92",23,92,2024,8,2.775018,92069,8,6,1,3,3,10,9,4,1,9,4,5,5,4,3,2,3,1,1,2,4,6,3,4,4,4,6,3,6,6,6,6,6,3,2,4,4,6,3,6,3,2,3,3,3,4,2,3,2,3,3,3,2,3,3,3,3,2,1,3,3,1,9,5,6,5,4,2,3,2,3,2,2,2,2,2,2,1,1,1,5,2,1,1,2,6,1,2,2,2,2,3,2,3,2,1,1,2,4,2,3,8,8,8,5,4,4,3,4,4,2,3,2,1,3,1,2,2,1,2,2,1,1,2,9,NA,1,1,NA,3,2,8,1,1,1,2,2,40,1,2,NA,1,2,1,2,8,1,NA,1,4
"24","24-92",24,92,2024,8,1.95572126,92221,20,13,1,4,16,5,10,1,2,4,4,5,5,3,2,3,2,1,1,1,5,6,5,4,3,4,1,4,6,6,6,6,4,1,1,1,1,6,1,6,1,3,4,4,-9,3,4,4,4,4,4,4,1,4,4,3,1,3,3,4,4,1,1,1,10,5,5,2,4,5,5,5,3,4,4,4,4,4,1,1,8,3,3,1,7,5,1,2,3,4,3,4,3,4,3,1,1,5,2,3,1,10,5,5,5,1,5,5,4,2,1,5,5,3,3,1,4,4,4,4,2,4,1,2,9,NA,1,1,NA,2,3,5,1,1,1,1,1,53,1,2,NA,1,2,2,2,4,1,NA,1,7
"25","25-92",25,92,2024,8,0.44404327,92221,20,13,1,4,26,1,7,1,3,10,5,-7,-7,-7,4,3,5,3,2,10,6,6,6,6,6,1,6,6,6,6,2,6,6,4,4,4,4,6,2,6,6,1,3,1,4,3,4,1,1,3,3,1,3,3,4,4,3,3,1,1,1,3,10,10,1,1,4,1,2,1,5,5,2,1,4,4,4,2,2,1,1,1,1,4,5,2,1,1,1,1,1,3,1,4,1,5,4,4,4,1,4,0,0,5,10,1,5,1,1,1,1,4,1,1,1,4,4,4,4,4,2,4,1,5,15,15,1,2,NA,9,2,1,4,2,3,5,1,75,1,2,NA,2,NA,7,2,4,1,NA,9,6
"26","26-92",26,92,2024,8,0.37192454,92174,20,13,1,1,10,6,1,4,3,7,4,3,4,4,3,3,5,3,1,1,4,6,6,2,1,6,6,2,6,6,6,6,6,6,1,2,3,6,6,6,6,3,4,3,1,3,3,3,2,3,1,3,4,3,3,3,3,1,2,1,3,3,5,10,3,3,1,3,2,1,1,1,2,2,3,3,3,1,2,1,8,3,1,1,3,6,1,1,3,3,4,4,3,4,3,2,2,3,3,3,1,0,10,1,5,3,2,2,4,1,3,4,3,3,2,1,1,1,3,1,2,1,1,4,3,NA,1,1,NA,8,7,5,1,3,3,4,2,69,1,1,5,1,3,4,1,1,1,NA,7,2
"27","27-92",27,92,2024,8,2.66097946,92152,20,13,1,4,1,5,8,3,2,5,3,-7,-7,4,3,1,3,1,1,5,4,6,3,4,4,6,6,3,3,6,6,6,6,2,1,3,-8,6,6,6,2,4,4,4,3,2,3,3,3,2,3,3,3,2,4,3,3,3,2,4,4,1,5,7,10,2,2,0,-7,1,1,1,3,4,4,4,4,4,1,10,8,4,4,1,6,2,1,4,4,4,3,4,3,4,3,1,1,1,1,1,1,0,0,0,5,1,5,1,1,5,5,5,5,5,5,2,4,4,4,-89,2,2,1,4,22,NA,1,1,NA,7,10,3,3,2,1,1,2,26,1,2,NA,2,NA,8,2,4,2,2,1,5
"28","28-92",28,92,2024,8,0.57574182,92278,25,16,1,3,1,2,10,1,3,5,5,5,4,4,4,3,5,3,2,5,1,6,1,1,1,1,2,2,6,6,6,6,3,1,3,4,4,6,3,4,6,3,1,2,4,4,3,3,2,3,2,2,3,4,2,3,3,2,3,3,4,3,7,10,10,4,1,2,4,2,5,2,2,1,1,1,1,1,2,2,1,3,1,1,7,5,2,4,3,3,3,2,3,2,4,5,4,2,1,4,5,10,5,10,5,2,4,2,4,4,1,5,1,1,1,1,1,1,1,2,4,2,4,5,15,1,2,NA,2,4,5,8,3,3,2,5,1,51,1,2,NA,1,2,1,2,4,1,NA,1,4
"29","29-92",29,92,2024,8,0.7142603,92093,12,8,1,3,26,1,7,3,2,10,5,-7,5,-7,3,3,3,1,1,-9,4,6,-9,3,3,-9,-9,4,6,6,6,6,6,-9,2,-9,-9,6,2,-9,-9,1,3,2,4,3,3,3,3,3,-9,1,1,3,3,3,3,2,2,3,4,1,7,10,10,1,1,2,3,4,2,2,1,2,1,2,4,3,2,1,2,1,1,1,7,4,1,1,2,3,-9,3,2,-9,2,2,2,1,1,4,4,10,10,5,5,1,3,5,4,4,2,4,2,1,1,1,1,1,1,4,4,3,2,4,15,15,1,-9,NA,2,8,3,3,3,1,3,2,75,1,2,NA,1,4,7,2,6,1,NA,7,2
"30","30-92",30,92,2024,8,1.08726937,92093,12,8,1,3,3,4,7,2,2,5,3,5,4,-7,3,3,4,3,2,10,1,-9,-9,-9,1,-9,-9,-9,-9,6,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,4,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,1,5,6,10,3,3,3,2,3,3,4,2,4,1,1,1,1,2,1,8,4,1,1,5,3,1,2,2,2,2,3,2,3,3,1,1,3,5,5,2,5,4,5,0,4,4,4,4,1,1,4,1,1,1,3,1,4,2,4,3,1,3,5,15,15,1,2,NA,8,11,4,4,2,3,5,1,69,1,2,NA,1,4,1,2,3,1,NA,7,4
"31","31-92",31,92,2024,8,0.76338409,92093,12,8,1,2,1,3,26,1,1,6,4,4,5,2,2,4,4,2,2,5,4,6,-9,5,3,4,3,5,6,-8,6,6,6,3,1,3,3,6,1,-9,2,3,3,3,3,3,2,2,2,3,-8,2,3,4,3,2,3,3,2,3,4,1,5,7,5,4,3,2,1,2,2,2,3,4,3,4,1,3,1,1,8,3,2,1,4,5,1,3,3,3,3,4,3,4,3,1,1,1,4,1,1,7,5,3,5,2,4,5,4,1,4,5,2,2,2,2,2,1,3,2,1,2,1,3,15,15,1,1,NA,8,3,2,2,3,1,2,2,58,1,2,NA,1,1,2,2,8,1,NA,1,4
"32","32-92",32,92,2024,8,0.36242312,92093,12,8,1,3,1,7,26,3,2,6,4,-7,3,-7,3,4,3,1,1,2,5,-8,4,4,4,4,-8,3,6,6,6,6,4,2,2,2,4,4,4,4,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,3,3,2,-8,2,3,1,6,8,10,1,2,3,2,2,-8,3,2,3,2,1,4,3,2,2,8,1,2,1,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,2,1,7,5,7,5,2,2,4,4,2,2,5,2,2,2,2,2,3,2,3,4,2,2,3,15,3,1,1,NA,1,3,8,3,1,3,3,1,66,1,2,NA,1,2,7,2,3,1,NA,7,1
"33","33-92",33,92,2024,8,1.41863263,92075,10,7,1,4,7,10,26,3,2,8,4,-7,-7,4,2,2,3,1,1,5,4,6,6,6,2,6,6,4,6,3,4,6,6,2,3,2,6,6,6,3,6,1,3,2,4,2,2,2,1,1,3,2,3,3,3,3,2,2,1,2,4,3,3,5,8,2,2,2,-7,2,2,2,2,1,1,1,1,1,2,1,6,2,2,1,3,5,1,2,2,2,2,2,2,2,2,4,3,2,2,2,3,3,6,3,5,2,3,3,4,1,3,3,2,2,2,2,1,2,1,1,2,1,2,4,17,NA,1,1,NA,3,10,8,3,3,1,2,1,21,1,2,NA,2,NA,8,1,5,2,4,2,8
"34","34-92",34,92,2024,8,1.82098586,92075,10,7,1,4,3,2,26,1,3,10,5,5,-7,-7,3,3,5,2,2,5,1,6,6,6,2,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,4,4,3,3,3,3,4,3,4,4,4,4,3,3,3,4,4,2,5,5,5,1,1,3,-7,1,1,1,2,3,3,3,3,3,2,9,8,2,3,3,1,2,2,3,3,3,2,3,3,3,2,3,3,3,2,2,2,5,5,5,5,1,3,4,4,1,3,5,3,3,2,2,2,2,2,1,2,1,1,5,20,NA,1,1,NA,8,5,2,3,1,3,3,2,22,1,2,NA,2,NA,8,2,4,2,1,3,3
"35","35-92",35,92,2024,8,0.60469584,92075,10,7,1,3,2,4,9,1,3,8,5,2,3,4,4,2,5,2,2,10,1,6,6,2,2,6,6,2,6,6,6,6,6,6,5,4,6,6,6,2,6,2,3,1,3,3,3,2,3,3,3,2,3,3,2,3,3,1,3,4,3,2,10,10,10,2,1,2,2,1,5,4,3,3,3,3,3,2,2,1,5,1,1,1,4,7,1,3,2,2,2,4,1,3,2,2,2,2,1,2,2,8,8,2,1,2,1,2,4,3,3,1,2,2,2,3,3,3,2,2,2,2,2,2,18,NA,1,2,NA,4,2,8,3,3,5,5,1,35,1,2,NA,1,3,8,2,4,1,NA,1,5
"36","36-92",36,92,2024,8,0.72286636,92075,10,7,1,4,14,13,7,3,-8,6,4,3,5,4,3,2,3,3,2,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,1,4,4,4,4,4,4,4,1,4,4,-8,-8,4,1,-8,1,-8,2,10,10,10,2,1,3,1,2,4,2,2,1,1,1,2,3,2,1,6,4,1,6,7,1,1,3,3,3,3,4,3,4,2,4,2,2,2,4,2,5,5,0,0,2,4,2,4,2,1,3,2,2,2,2,1,3,1,2,1,1,2,5,15,15,2,NA,5,8,9,3,4,5,-8,-8,2,39,2,2,NA,1,3,2,2,6,1,NA,2,2
"37","37-92",37,92,2024,8,1.89151018,92075,10,7,1,4,9,5,3,2,3,5,2,5,4,2,3,3,4,2,2,7,1,6,2,2,1,6,2,4,6,2,6,6,6,3,5,1,4,1,6,6,6,3,4,2,4,4,3,4,3,3,4,3,4,4,3,4,3,1,3,4,4,3,5,10,10,2,2,0,1,2,2,3,1,1,1,1,1,1,2,1,8,1,2,1,3,2,1,4,4,4,4,4,4,4,4,1,1,4,4,1,1,5,3,5,5,1,4,4,4,1,4,4,4,2,4,1,1,4,2,2,1,4,2,4,10,NA,1,2,NA,2,5,11,3,2,5,4,1,27,1,2,NA,1,1,8,2,4,2,1,3,4
"38","38-92",38,92,2024,8,1.91077949,92025,4,4,1,2,14,17,2,3,1,10,4,5,-7,-7,4,3,4,2,1,5,4,6,6,4,3,6,6,5,6,6,6,6,6,6,2,3,6,6,6,6,6,2,2,2,3,3,2,3,2,3,2,3,3,3,3,3,3,1,2,2,3,1,1,10,10,1,2,2,-7,2,2,2,2,4,1,1,1,1,2,1,5,2,1,1,2,3,1,1,2,2,2,3,2,3,2,2,1,2,3,2,2,5,5,5,5,2,2,3,4,2,4,4,2,2,2,1,1,2,2,2,2,1,2,4,17,NA,1,1,NA,8,2,5,3,3,1,2,1,21,1,2,NA,2,NA,2,1,7,2,7,4,2
